,Product_Url,Product_Name,Product Price,Rating,Number of reviews,Description,ASIN,Product Description,Manufacturer
0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDEzMzA1NzM3NzcxNjg3OjE2Nzk0ODUyMDk6c3BfYXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1679485209%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,300",4.2 out of 5,12 global ratings,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BSH4H4DB,"Product Dimensions : 15 x 29.5 x 42.5 cm; 642 Grams
Date First Available : 17 January 2023
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0BSH4H4DB
Item model number : 3500EBP1BLK
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Packer : Acefour Accessories Pvt. Ltd.
Item Weight : 642 g
Item Dimensions LxWxH : 15 x 29.5 x 42.5 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDEzMzA1NzM3NzcxNjg3OjE2Nzk0ODUyMDk6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FPOLICE-ltrs-cms-backpack-PTO020008_1_black%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1679485209%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,700",4.1 out of 5,187 global ratings,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers",B0B81YTTWS,"Product Dimensions : 16.2 x 30.5 x 46 cm; 0.55 Grams
Date First Available : 29 July 2022
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0B81YTTWS
Item model number : 2500EBP1BLU
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Item Weight : 0.55 g
Item Dimensions LxWxH : 16.2 x 30.5 x 46 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
6,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?keywords=bags&qid=1679485209&sr=8-6,Skybags Brat Black 46 Cms Casual Backpack,₹649,4.1 out of 5,"3,780 global ratings","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",B08Z1HHHTD,"Product Dimensions : 10.01 x 19.99 x 11.99 cm; 390 Grams
Date First Available : 15 March 2021
Manufacturer : VIP Industries Ltd
ASIN : B08Z1HHHTD
Manufacturer : VIP Industries Ltd
Item Weight : 390 g
Item Dimensions LxWxH : 10 x 20 x 12 Centimeters",VIP Industries Ltd
9,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?keywords=bags&qid=1679485209&sr=8-9,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹214,3.7 out of 5,"6,059 global ratings","Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.
Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)
Number of compartments: 1; Compatible Laptop Size : 15.4
Warranty Type: Manufacturer; 1 Year from the date of purchase
Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",B019HA8AYG,"Is Discontinued By Manufacturer : No
Product Dimensions : 49 x 33 x 10 cm; 82 Grams
Date First Available : 17 December 2015
Manufacturer : Gear Merchandise PVT LTD
ASIN : B019HA8AYG
Item model number : BKPCARYON0110
Country of Origin : India
Department : Men
Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Item Weight : 82 g
Item Dimensions LxWxH : 49 x 33 x 10 Centimeters
Net Quantity : 1 count
Included Components : Backpack
Generic Name : Bag","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
10,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_10?keywords=bags&qid=1679485209&sr=8-10,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699,3.7 out of 5,116 global ratings,"MULTI-FUNCTION COMPARTMENT: HALF MOON laptop bag for men features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.
DURABLE MATERIAL: The Laptop bag for men / backpack for men has superior quality durable eco-friendly waterproof and anti-scratch polyester and this office bag for men / Laptop backpacks for men features a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.
COMFORTABLE DESIGN IN LAPTOP BAG FOR MEN: Our backpack for men’s ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the college bags for men comfortable to wear even when loaded with all your gear; Compact: The backpack for men / college bags for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.
SIZE OF LAPTOP BAG FOR MEN:18*13*10 inch(L*W*H), Capacity: The office bag for men has capacity of 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and office bag for women.
OTHER FEATURES OF OFFICE BAG FOR MEN: The office bag for men and office bag for women has laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",B0BLVQ9NTD,"Product Dimensions : 45 x 33 x 25 cm; 450 Grams
Date First Available : 9 November 2022
Manufacturer : Half_Moon (AB Amazing Bags)
ASIN : B0BLVQ9NTD
Item model number : Strike35_MT
Country of Origin : India
Department : unisex-adult
Manufacturer : Half_Moon (AB Amazing Bags)
Item Weight : 450 g
Item Dimensions LxWxH : 45 x 33 x 25 Centimeters",Half_Moon (AB Amazing Bags)
12,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDEzMzA1NzM3NzcxNjg3OjE2Nzk0ODUyMDk6c3BfbXRmOjIwMDkxMDg5MjQ2Nzk4OjowOjo&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1679485209%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5,"2,344 global ratings","SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men / laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, 17 inch Laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",B09VCLZ3K4,"Product Dimensions : 22 x 30 x 50 cm; 670 Grams
Date First Available : 11 March 2022
Manufacturer : Amazing Bags
ASIN : B09VCLZ3K4
Item model number : laptop bag
Country of Origin : India
Department : unisex-adult
Manufacturer : Amazing Bags
Item Weight : 670 g
Item Dimensions LxWxH : 22 x 30 x 50 Centimeters",Amazing Bags
13,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_13?keywords=bags&qid=1679485209&sr=8-13,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹299,4 out of 5,"18,019 global ratings","Outer Material: Polyester, Color: Sea Blue
Not water resistant. With Rain Cover:No
Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)
Number of compartments: 2; Laptop Compatibility: No
Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket
Drawstring, 2 Compartments, Compact Size",B07Q7CNPMV,"Product Dimensions : 32 x 29.5 x 47 cm; 490 Grams
Date First Available : 27 March 2019
Manufacturer : Safari Industries (India) Ltd
ASIN : B07Q7CNPMV
Item model number : DAYPACKNEO15CBSEB
Country of Origin : China
Department : unisex-adult
Manufacturer : Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838
Packer : Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838
Importer : Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838
Item Weight : 490 g
Item Dimensions LxWxH : 32 x 29.5 x 47 Centimeters
Net Quantity : 1 Count
Included Components : SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB)
Generic Name : Backpack","Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
14,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_14?keywords=bags&qid=1679485209&sr=8-14,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5,"2,344 global ratings","SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men / laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, 17 inch Laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",B0BJ32LQ6X,"Product Dimensions : 22 x 30 x 50 cm; 660 Grams
Date First Available : 13 October 2022
Manufacturer : Amazing Bags
ASIN : B0BJ32LQ6X
Item model number : laptop bag
Country of Origin : India
Department : unisex-adult
Manufacturer : Amazing Bags
Item Weight : 660 g
Item Dimensions LxWxH : 22 x 30 x 50 Centimeters
Generic Name : bag",Amazing Bags
15,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_15?keywords=bags&qid=1679485209&sr=8-15,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹689,3.9 out of 5,"15,256 global ratings","SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,"Product Dimensions : 21 x 33 x 48 cm; 600 Grams
Date First Available : 28 February 2020
Manufacturer : Amazing Bags
ASIN : B085MHDJ93
Item model number : bag for men
Country of Origin : India
Department : Unisex Adult and Child
Manufacturer : Amazing Bags, Half_Moon, New Delhi
Item Weight : 600 g
Item Dimensions LxWxH : 21 x 33 x 48 Centimeters
Generic Name : laptop bag","Amazing Bags, Half_Moon, New Delhi"
16,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_16?keywords=bags&qid=1679485209&sr=8-16,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹689,3.9 out of 5,"3,131 global ratings","Care Instructions: Wipe with Damp Cloth
Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>
USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>
Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>
Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>
Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult<br>",B09VTCNN75,"Product Dimensions : 30 x 18 x 42 cm; 700 Grams
Date First Available : 17 March 2022
Manufacturer : FUR JADEN
ASIN : B09VTCNN75
Item model number : BM83
Country of Origin : India
Department : unisex-adult
Manufacturer : FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002
Packer : Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002
Item Weight : 700 g
Item Dimensions LxWxH : 30 x 18 x 42 Centimeters
Net Quantity : 1.00 Unit
Generic Name : Anti Theft Laptop Backpack","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
